Country,Rank,Account,Title,Link,Category,Followers,Audience Country,Authentic engagement,Engagement avg,Scraped date
All,101,iamhalsey,halsey,https://www.instagram.com/iamhalsey/,Music,28300000,United States,1300000,1700000,1/1/2024
All,102,paulodybala,Paulo Dybala,https://www.instagram.com/paulodybala/,Sports with a ball,45500000,Argentina,640200,1000000,1/1/2024
All,103,dovecameron,DOVE,https://www.instagram.com/dovecameron/,Cinema|Actors/actresses,44900000,United States,787900,1000000,1/1/2024
All,104,antonelaroccuzzo,Antonela Roccuzzo,https://www.instagram.com/antonelaroccuzzo/,Modeling|Family,18700000,Argentina,1500000,2400000,1/1/2024
All,105,camimendes,camila mendes,https://www.instagram.com/camimendes/,Cinema|Actors/actresses,26900000,Brazil,1100000,1600000,1/1/2024
All,106,theweeknd,The Weeknd,https://www.instagram.com/theweeknd/,Music,36700000,United States,858800,1200000,1/1/2024
All,107,norafatehi,Nora Fatehi,https://www.instagram.com/norafatehi/,Cinema|Actors/actresses|Music|Shows,37800000,India,917500,1100000,1/1/2024
All,108,iamzlatanibrahimovic,Zlatan Ibrahimović,https://www.instagram.com/iamzlatanibrahimovic/,Sports with a ball,52100000,Italy,525300,806100,1/1/2024
All,109,karimbenzema,Karim Benzema,https://www.instagram.com/karimbenzema/,Sports with a ball,45200000,France,620700,895300,1/1/2024
All,110,nehakakkar,Neha Kakkar (Mrs. Singh),https://www.instagram.com/nehakakkar/,Music,67600000,India,511500,595900,1/1/2024
All,111,skawngur,남주혁,https://www.instagram.com/skawngur/,Cinema|Actors/actresses,16700000,Indonesia,1700000,2400000,1/1/2024
All,112,chrisbrownofficial,BREEZY,https://www.instagram.com/chrisbrownofficial/,Music,103900000,United States,247700,388400,1/1/2024
All,113,hi_high_hiy,황인엽,https://www.instagram.com/hi_high_hiy/,Cinema|Actors/actresses,12300000,South Korea,2700000,3200000,1/1/2024
All,114,realstraykids,Stray Kids,https://www.instagram.com/realstraykids/,Music,19100000,Indonesia,1600000,2000000,1/1/2024
All,115,songkang_b,송강,https://www.instagram.com/songkang_b/,,12800000,Mexico,2100000,2900000,1/1/2024
All,116,vindiesel,Vin Diesel,https://www.instagram.com/vindiesel/,Cinema|Actors/actresses,78200000,Brazil,363400,467200,1/1/2024
All,117,sergioramos,Sergio Ramos,https://www.instagram.com/sergioramos/,Sports with a ball,49400000,Spain,477400,731700,1/1/2024
All,118,shakira,Shakira,https://www.instagram.com/shakira/,Music,71600000,India,367500,500700,1/1/2024
All,119,louist91,Louis Tomlinson,https://www.instagram.com/louist91/,Music,18100000,Brazil,1400000,2000000,1/1/2024
All,120,ladygaga,Lady Gaga,https://www.instagram.com/ladygaga/,Music|Cinema|Actors/actresses,51400000,United States,483200,674700,1/1/2024
All,121,varundvn,VarunDhawan,https://www.instagram.com/varundvn/,Cinema|Actors/actresses,39900000,India,706500,862400,1/1/2024
All,122,kjapa,KJ Apa,https://www.instagram.com/kjapa/,Cinema|Actors/actresses,19100000,United States,1200000,1800000,1/1/2024
All,123,dannapaola,Danna Paola,https://www.instagram.com/dannapaola/,Music,33200000,Mexico,705800,1000000,1/1/2024
All,124,iansomerhalder,iansomerhalder,https://www.instagram.com/iansomerhalder/,Cinema|Actors/actresses,22300000,United States,1000000,1500000,1/1/2024
All,125,saraalikhan95,Sara Ali Khan,https://www.instagram.com/saraalikhan95/,Cinema|Actors/actresses,39300000,India,699900,852000,1/1/2024
All,126,jannatzubair29,Jannat Zubair Rahmani,https://www.instagram.com/jannatzubair29/,Cinema|Actors/actresses,40000000,India,682800,833600,1/1/2024
